Time, DR, DN, RN, Euclidian
3.630, 1.529, 0.851, 1.288, 2.172
3.640, 1.466, 0.901, 1.306, 2.160
3.650, 1.416, 0.874, 1.234, 2.071
3.660, 1.488, 0.855, 1.26, 2.129
3.670, 1.464, 0.89, 1.205, 2.094
3.680, 1.498, 0.869, 1.271, 2.148
3.690, 1.475, 0.862, 1.239, 2.110
3.700, 1.492, 0.867, 1.286, 2.152
3.710, 1.441, 0.88, 1.236, 2.092
3.720, 1.398, 0.854, 1.233, 2.050
3.730, 1.454, 0.887, 1.213, 2.090
3.740, 1.445, 0.877, 1.26, 2.108
3.750, 1.391, 0.899, 1.252, 2.076
3.760, 1.437, 0.887, 1.33, 2.149
3.770, 1.391, 0.905, 1.22, 2.059
3.780, 1.379, 0.965, 1.206, 2.070
3.790, 1.377, 0.907, 1.234, 2.059
3.800, 1.427, 0.934, 1.286, 2.135
3.810, 1.46, 0.885, 1.264, 2.124
3.820, 1.441, 0.901, 1.255, 2.112
3.830, 1.414, 0.874, 1.246, 2.077
3.840, 1.413, 0.934, 1.242, 2.100
3.850, 1.364, 0.889, 1.2, 2.022
3.860, 1.457, 0.922, 1.227, 2.116
3.870, 1.427, 0.882, 1.231, 2.080
3.880, 1.483, 0.904, 1.276, 2.155
3.890, 1.41, 0.898, 1.258, 2.092
3.900, 1.458, 0.906, 1.289, 2.146
3.910, 1.423, 0.944, 1.277, 2.132
3.920, 1.473, 0.913, 1.278, 2.153
3.930, 1.462, 0.905, 1.334, 2.176
3.940, 1.487, 0.896, 1.327, 2.185
3.950, 1.436, 0.906, 1.259, 2.113
3.960, 1.462, 0.859, 1.324, 2.151
3.970, 1.347, 0.888, 1.276, 2.056
3.980, 1.401, 0.84, 1.259, 2.062
3.990, 1.402, 0.853, 1.266, 2.072
4.000, 1.415, 0.836, 1.296, 2.093
4.010, 1.409, 0.846, 1.295, 2.092
4.020, 1.413, 0.831, 1.227, 2.047
4.030, 1.435, 0.84, 1.304, 2.113
4.040, 1.36, 0.859, 1.275, 2.052
4.050, 1.38, 0.842, 1.254, 2.045
4.060, 1.491, 0.867, 1.309, 2.165
4.070, 1.511, 0.852, 1.329, 2.185
4.080, 1.487, 0.874, 1.352, 2.191
4.090, 1.458, 0.865, 1.309, 2.141
4.100, 1.412, 0.847, 1.29, 2.091
4.110, 1.402, 0.866, 1.279, 2.086
4.120, 1.342, 0.833, 1.247, 2.012
4.130, 1.478, 0.844, 1.337, 2.164
4.140, 1.439, 0.832, 1.323, 2.124
4.150, 1.424, 0.866, 1.298, 2.112
4.160, 1.464, 0.824, 1.322, 2.137
4.170, 1.405, 0.787, 1.273, 2.052
4.180, 1.417, 0.852, 1.292, 2.098
4.190, 1.443, 0.846, 1.282, 2.107
4.200, 1.469, 0.829, 1.276, 2.115
4.210, 1.444, 0.849, 1.325, 2.135
4.220, 1.441, 0.863, 1.316, 2.133
4.230, 1.489, 0.832, 1.325, 2.159
4.240, 1.498, 0.865, 1.308, 2.168
4.250, 1.48, 0.847, 1.292, 2.139
4.260, 1.447, 0.857, 1.274, 2.109
4.270, 1.502, 0.839, 1.291, 2.150
4.280, 1.457, 0.855, 1.263, 2.109
4.290, 1.394, 0.818, 1.214, 2.021
4.300, 1.368, 0.851, 1.216, 2.018
4.310, 1.366, 0.857, 1.228, 2.026
4.320, 1.408, 0.865, 1.281, 2.090
4.330, 1.435, 0.886, 1.266, 2.108
4.340, 1.476, 0.888, 1.331, 2.176
4.350, 1.403, 0.876, 1.296, 2.101
4.360, 1.459, 0.865, 1.279, 2.124
4.370, 1.501, 0.852, 1.355, 2.194
4.380, 1.418, 0.863, 1.28, 2.096
4.390, 1.375, 0.896, 1.251, 2.063
4.400, 1.403, 0.933, 1.278, 2.114
4.410, 1.454, 0.921, 1.223, 2.111
4.420, 1.426, 0.901, 1.229, 2.087
4.430, 1.463, 0.888, 1.287, 2.141
4.440, 1.5, 0.909, 1.273, 2.167
4.450, 1.405, 0.905, 1.227, 2.073
4.460, 1.481, 0.891, 1.25, 2.133
4.470, 1.434, 0.914, 1.288, 2.133
4.480, 1.46, 0.9, 1.297, 2.150
4.490, 1.46, 0.849, 1.317, 2.141
4.500, 1.387, 0.908, 1.323, 2.120
4.510, 1.471, 0.891, 1.369, 2.198
4.520, 1.425, 0.884, 1.361, 2.159
4.530, 1.457, 0.878, 1.371, 2.184
4.540, 1.424, 0.861, 1.342, 2.137
4.550, 1.439, 0.896, 1.317, 2.146
4.560, 1.469, 0.876, 1.421, 2.223
4.570, 1.391, 0.898, 1.334, 2.126
4.580, 1.448, 0.902, 1.316, 2.154
4.590, 1.455, 0.91, 1.289, 2.146
4.600, 1.444, 0.916, 1.326, 2.163
4.610, 1.526, 0.889, 1.374, 2.237
4.620, 1.474, 0.869, 1.377, 2.196
4.630, 1.436, 0.864, 1.306, 2.124
4.640, 1.493, 0.912, 1.292, 2.174
4.650, 1.48, 0.859, 1.33, 2.167
4.660, 1.457, 0.864, 1.357, 2.170
4.670, 1.385, 0.894, 1.26, 2.074
4.680, 1.429, 0.899, 1.304, 2.133
