Time, DR, DN, RN, Euclidian
2.490, 1.612, 0.839, 1.414, 2.302
2.500, 1.589, 0.799, 1.411, 2.270
2.510, 1.634, 0.814, 1.406, 2.304
2.520, 1.622, 0.814, 1.427, 2.308
2.530, 1.586, 0.802, 1.448, 2.292
2.540, 1.663, 0.773, 1.403, 2.309
2.550, 1.578, 0.814, 1.425, 2.276
2.560, 1.632, 0.797, 1.395, 2.290
2.570, 1.613, 0.807, 1.4, 2.283
2.580, 1.608, 0.802, 1.391, 2.272
2.590, 1.61, 0.819, 1.35, 2.255
2.600, 1.631, 0.805, 1.436, 2.317
2.610, 1.595, 0.816, 1.365, 2.252
2.620, 1.616, 0.782, 1.394, 2.272
2.630, 1.622, 0.794, 1.398, 2.283
2.640, 1.609, 0.79, 1.427, 2.291
2.650, 1.593, 0.8, 1.382, 2.255
2.660, 1.627, 0.773, 1.368, 2.261
2.670, 1.609, 0.806, 1.407, 2.284
2.680, 1.567, 0.809, 1.393, 2.247
2.690, 1.573, 0.801, 1.402, 2.254
2.700, 1.574, 0.81, 1.405, 2.260
2.710, 1.583, 0.833, 1.412, 2.278
2.720, 1.587, 0.755, 1.407, 2.251
2.730, 1.588, 0.811, 1.399, 2.266
2.740, 1.584, 0.796, 1.37, 2.240
2.750, 1.624, 0.822, 1.44, 2.320
2.760, 1.589, 0.82, 1.432, 2.290
2.770, 1.612, 0.821, 1.439, 2.311
2.780, 1.616, 0.781, 1.384, 2.266
2.790, 1.611, 0.813, 1.421, 2.296
2.800, 1.648, 0.794, 1.439, 2.327
2.810, 1.634, 0.828, 1.397, 2.303
2.820, 1.623, 0.835, 1.433, 2.320
2.830, 1.605, 0.793, 1.418, 2.283
2.840, 1.6, 0.798, 1.425, 2.286
2.850, 1.633, 0.823, 1.464, 2.342
2.860, 1.575, 0.8, 1.405, 2.257
2.870, 1.622, 0.8, 1.412, 2.294
2.880, 1.656, 0.813, 1.483, 2.366
2.890, 1.58, 0.767, 1.404, 2.248
2.900, 1.582, 0.823, 1.451, 2.299
2.910, 1.628, 0.768, 1.452, 2.312
2.920, 1.585, 0.824, 1.413, 2.277
2.930, 1.578, 0.786, 1.401, 2.251
2.940, 1.625, 0.827, 1.41, 2.304
2.950, 1.598, 0.82, 1.407, 2.281
2.960, 1.643, 0.861, 1.406, 2.327
2.970, 1.61, 0.821, 1.403, 2.287
2.980, 1.592, 0.815, 1.409, 2.276
2.990, 1.568, 0.82, 1.354, 2.228
3.000, 1.621, 0.819, 1.383, 2.282
3.010, 1.556, 0.777, 1.396, 2.230
3.020, 1.65, 0.787, 1.404, 2.305
3.030, 1.611, 0.822, 1.397, 2.285
3.040, 1.636, 0.802, 1.445, 2.325
3.050, 1.585, 0.794, 1.403, 2.260
3.060, 1.643, 0.789, 1.415, 2.307
3.070, 1.601, 0.82, 1.39, 2.273
3.080, 1.624, 0.816, 1.414, 2.302
3.090, 1.649, 0.832, 1.385, 2.308
3.100, 1.616, 0.783, 1.401, 2.277
3.110, 1.578, 0.86, 1.372, 2.260
3.120, 1.602, 0.797, 1.39, 2.265
3.130, 1.577, 0.818, 1.349, 2.230
3.140, 1.607, 0.79, 1.391, 2.267
3.150, 1.602, 0.828, 1.392, 2.278
3.160, 1.611, 0.802, 1.376, 2.265
3.170, 1.571, 0.82, 1.406, 2.262
3.180, 1.558, 0.802, 1.387, 2.234
3.190, 1.583, 0.824, 1.38, 2.255
3.200, 1.56, 0.807, 1.381, 2.234
3.210, 1.573, 0.816, 1.38, 2.246
3.220, 1.571, 0.813, 1.384, 2.245
3.230, 1.588, 0.801, 1.44, 2.288
3.240, 1.601, 0.802, 1.394, 2.269
3.250, 1.657, 0.838, 1.429, 2.343
3.260, 1.63, 0.824, 1.369, 2.282
3.270, 1.611, 0.816, 1.364, 2.263
3.280, 1.581, 0.825, 1.412, 2.274
3.290, 1.616, 0.784, 1.443, 2.303
3.300, 1.629, 0.801, 1.373, 2.276
3.310, 1.61, 0.84, 1.391, 2.287
3.320, 1.595, 0.849, 1.348, 2.254
3.330, 1.648, 0.775, 1.369, 2.278
3.340, 1.562, 0.83, 1.389, 2.249
