Time, DR, DN, RN, Euclidian
5.260, 1.447, 0.858, 1.313, 2.133
5.270, 1.455, 0.856, 1.309, 2.136
5.280, 1.442, 0.874, 1.331, 2.148
5.290, 1.548, 0.843, 1.339, 2.213
5.300, 1.495, 0.847, 1.318, 2.165
5.310, 1.52, 0.842, 1.332, 2.189
5.320, 1.489, 0.851, 1.341, 2.177
5.330, 1.467, 0.853, 1.325, 2.152
5.340, 1.463, 0.859, 1.302, 2.138
5.350, 1.543, 0.867, 1.338, 2.218
5.360, 1.471, 0.861, 1.326, 2.159
5.370, 1.481, 0.856, 1.348, 2.177
5.380, 1.479, 0.839, 1.312, 2.147
5.390, 1.509, 0.843, 1.307, 2.167
5.400, 1.425, 0.834, 1.279, 2.088
5.410, 1.487, 0.838, 1.349, 2.175
5.420, 1.471, 0.831, 1.375, 2.178
5.430, 1.482, 0.847, 1.339, 2.169
5.440, 1.487, 0.83, 1.33, 2.160
5.450, 1.504, 0.79, 1.349, 2.169
5.460, 1.469, 0.835, 1.292, 2.127
5.470, 1.525, 0.862, 1.296, 2.179
5.480, 1.452, 0.856, 1.271, 2.111
5.490, 1.446, 0.835, 1.3, 2.116
5.500, 1.475, 0.849, 1.33, 2.159
5.510, 1.492, 0.85, 1.336, 2.175
5.520, 1.517, 0.899, 1.389, 2.244
5.530, 1.487, 0.856, 1.298, 2.151
5.540, 1.481, 0.853, 1.289, 2.140
5.550, 1.47, 0.834, 1.287, 2.124
5.560, 1.473, 0.848, 1.286, 2.131
5.570, 1.497, 0.861, 1.31, 2.167
5.580, 1.52, 0.822, 1.292, 2.157
5.590, 1.513, 0.864, 1.264, 2.152
5.600, 1.481, 0.858, 1.288, 2.142
5.610, 1.476, 0.839, 1.32, 2.150
5.620, 1.492, 0.836, 1.313, 2.156
5.630, 1.457, 0.884, 1.297, 2.141
5.640, 1.455, 0.826, 1.315, 2.128
5.650, 1.468, 0.83, 1.339, 2.153
5.660, 1.444, 0.846, 1.316, 2.129
5.670, 1.512, 0.819, 1.394, 2.213
5.680, 1.505, 0.844, 1.364, 2.199
5.690, 1.504, 0.828, 1.411, 2.222
5.700, 1.438, 0.829, 1.353, 2.141
5.710, 1.453, 0.854, 1.308, 2.133
5.720, 1.467, 0.86, 1.316, 2.150
5.730, 1.481, 0.852, 1.305, 2.149
5.740, 1.448, 0.847, 1.283, 2.111
5.750, 1.42, 0.878, 1.285, 2.106
5.760, 1.43, 0.828, 1.296, 2.100
5.770, 1.456, 0.854, 1.321, 2.143
5.780, 1.417, 0.837, 1.275, 2.081
5.790, 1.439, 0.879, 1.293, 2.124
