Time, DR, DN, RN, Euclidian
3410.000, 1.567, 0.832, 1.306, 2.203
3420.000, 1.494, 0.813, 1.288, 2.133
3430.000, 1.576, 0.877, 1.324, 2.237
3440.000, 1.542, 0.822, 1.309, 2.183
3450.000, 1.523, 0.825, 1.3, 2.165
3460.000, 1.462, 0.812, 1.275, 2.102
3470.000, 1.509, 0.8, 1.269, 2.127
3480.000, 1.497, 0.8, 1.235, 2.099
3490.000, 1.547, 0.829, 1.247, 2.153
3500.000, 1.494, 0.893, 1.269, 2.154
3510.000, 1.487, 0.837, 1.287, 2.137
3520.000, 1.461, 0.813, 1.235, 2.078
3530.000, 1.452, 0.81, 1.303, 2.112
3540.000, 1.45, 0.803, 1.254, 2.078
3550.000, 1.487, 0.821, 1.271, 2.121
3560.000, 1.471, 0.812, 1.315, 2.133
3570.000, 1.464, 0.798, 1.277, 2.100
3580.000, 1.457, 0.809, 1.254, 2.085
3590.000, 1.51, 0.838, 1.308, 2.166
3600.000, 1.467, 0.815, 1.245, 2.089
3610.000, 1.502, 0.824, 1.269, 2.131
3620.000, 1.546, 0.833, 1.313, 2.192
3630.000, 1.509, 0.805, 1.351, 2.179
3640.000, 1.522, 0.847, 1.327, 2.189
3650.000, 1.518, 0.821, 1.298, 2.159
3660.000, 1.5, 0.813, 1.258, 2.119
3670.000, 1.51, 0.846, 1.363, 2.203
3680.000, 1.51, 0.815, 1.311, 2.159
3690.000, 1.514, 0.809, 1.263, 2.131
3700.000, 1.484, 0.826, 1.269, 2.120
3710.000, 1.488, 0.827, 1.282, 2.131
3720.000, 1.482, 0.798, 1.274, 2.110
3730.000, 1.523, 0.844, 1.299, 2.172
3740.000, 1.49, 0.808, 1.295, 2.133
3750.000, 1.54, 0.823, 1.264, 2.155
3760.000, 1.516, 0.821, 1.253, 2.131
3770.000, 1.499, 0.846, 1.229, 2.114
3780.000, 1.549, 0.847, 1.253, 2.164
3790.000, 1.533, 0.807, 1.292, 2.161
3800.000, 1.523, 0.815, 1.265, 2.141
3810.000, 1.528, 0.836, 1.297, 2.171
3820.000, 1.481, 0.81, 1.249, 2.099
3830.000, 1.469, 0.865, 1.252, 2.115
3840.000, 1.463, 0.788, 1.243, 2.075
3850.000, 1.441, 0.828, 1.273, 2.093
3860.000, 1.491, 0.815, 1.333, 2.159
3870.000, 1.526, 0.786, 1.306, 2.156
3880.000, 1.505, 0.851, 1.311, 2.169
3890.000, 1.469, 0.833, 1.248, 2.099
3900.000, 1.495, 0.837, 1.278, 2.137
3910.000, 1.5, 0.83, 1.257, 2.125
3920.000, 1.536, 0.861, 1.271, 2.171
3930.000, 1.485, 0.811, 1.274, 2.118
3940.000, 1.552, 0.828, 1.299, 2.186
3950.000, 1.528, 0.825, 1.32, 2.181
3960.000, 1.507, 0.82, 1.331, 2.171
3970.000, 1.51, 0.837, 1.263, 2.139
3980.000, 1.482, 0.828, 1.286, 2.129
3990.000, 1.497, 0.848, 1.246, 2.124
4000.000, 1.515, 0.844, 1.269, 2.148
4010.000, 1.56, 0.82, 1.322, 2.203
4020.000, 1.491, 0.81, 1.289, 2.130
4030.000, 1.463, 0.816, 1.282, 2.109
4040.000, 1.497, 0.838, 1.231, 2.111
4050.000, 1.539, 0.821, 1.293, 2.171
4060.000, 1.473, 0.801, 1.247, 2.089
4070.000, 1.5, 0.824, 1.278, 2.135
4080.000, 1.508, 0.824, 1.275, 2.139
4090.000, 1.515, 0.825, 1.347, 2.188
4100.000, 1.544, 0.813, 1.305, 2.178
4110.000, 1.542, 0.809, 1.353, 2.205
4120.000, 1.531, 0.817, 1.305, 2.171
4130.000, 1.512, 0.81, 1.335, 2.173
4140.000, 1.539, 0.814, 1.295, 2.169
4150.000, 1.558, 0.833, 1.325, 2.208
4160.000, 1.532, 0.799, 1.322, 2.175
4170.000, 1.503, 0.806, 1.3, 2.144
4180.000, 1.545, 0.818, 1.3, 2.178
4190.000, 1.533, 0.845, 1.334, 2.200
4200.000, 1.553, 0.84, 1.303, 2.194
4210.000, 1.537, 0.828, 1.226, 2.133
4220.000, 1.468, 0.868, 1.299, 2.143
4230.000, 1.501, 0.83, 1.347, 2.180
4240.000, 1.504, 0.869, 1.322, 2.182
4250.000, 1.524, 0.822, 1.292, 2.160
4260.000, 1.5, 0.876, 1.304, 2.172
4270.000, 1.491, 0.808, 1.257, 2.110
4280.000, 1.469, 0.843, 1.273, 2.118
4290.000, 1.505, 0.835, 1.281, 2.145
4300.000, 1.468, 0.827, 1.278, 2.114
4310.000, 1.523, 0.822, 1.263, 2.142
4320.000, 1.483, 0.79, 1.263, 2.102
4330.000, 1.52, 0.825, 1.271, 2.146
4340.000, 1.527, 0.851, 1.255, 2.151
4350.000, 1.502, 0.804, 1.247, 2.111
4360.000, 1.558, 0.847, 1.321, 2.211
4370.000, 1.541, 0.842, 1.313, 2.192
4380.000, 1.512, 0.825, 1.276, 2.143
4390.000, 1.532, 0.835, 1.329, 2.193
4400.000, 1.474, 0.838, 1.25, 2.106
4410.000, 1.516, 0.824, 1.3, 2.160
4420.000, 1.559, 0.833, 1.311, 2.200
4430.000, 1.528, 0.838, 1.304, 2.176
4440.000, 1.466, 0.817, 1.272, 2.105
4450.000, 1.527, 0.856, 1.33, 2.198
4460.000, 1.527, 0.854, 1.287, 2.171
4470.000, 1.487, 0.829, 1.279, 2.129
4480.000, 1.535, 0.874, 1.245, 2.161
4490.000, 1.473, 0.842, 1.258, 2.112
4500.000, 1.526, 0.882, 1.282, 2.179
4510.000, 1.512, 0.856, 1.307, 2.174
4520.000, 1.542, 0.858, 1.32, 2.203
4530.000, 1.526, 0.863, 1.279, 2.170
4540.000, 1.485, 0.831, 1.245, 2.108
4550.000, 1.545, 0.831, 1.316, 2.193
4560.000, 1.545, 0.882, 1.305, 2.206
4570.000, 1.493, 0.841, 1.271, 2.133
4580.000, 1.486, 0.832, 1.243, 2.108
4590.000, 1.501, 0.819, 1.246, 2.115
4600.000, 1.505, 0.836, 1.286, 2.148
4610.000, 1.551, 0.827, 1.251, 2.157
4620.000, 1.514, 0.816, 1.275, 2.140
4630.000, 1.492, 0.854, 1.314, 2.163
4640.000, 1.528, 0.829, 1.287, 2.162
4650.000, 1.538, 0.833, 1.28, 2.167
4660.000, 1.535, 0.873, 1.292, 2.188
4670.000, 1.498, 0.835, 1.261, 2.128
4680.000, 1.504, 0.796, 1.277, 2.127
4690.000, 1.509, 0.801, 1.264, 2.125
4700.000, 1.517, 0.816, 1.269, 2.139
4710.000, 1.503, 0.842, 1.297, 2.156
4720.000, 1.471, 0.833, 1.246, 2.100
4730.000, 1.522, 0.832, 1.235, 2.129
4740.000, 1.546, 0.82, 1.301, 2.180
4750.000, 1.568, 0.838, 1.279, 2.190
4760.000, 1.584, 0.865, 1.257, 2.199
