Time, DR, DN, RN, Euclidian
3.190, 1.534, 0.829, 1.18, 2.105
3.200, 1.511, 0.821, 1.199, 2.096
3.210, 1.477, 0.849, 1.185, 2.075
3.220, 1.507, 0.851, 1.112, 2.057
3.230, 1.494, 0.84, 1.129, 2.052
3.240, 1.519, 0.845, 1.178, 2.099
3.250, 1.512, 0.829, 1.17, 2.083
3.260, 1.518, 0.827, 1.173, 2.089
3.270, 1.51, 0.848, 1.2, 2.106
3.280, 1.561, 0.847, 1.236, 2.163
3.290, 1.554, 0.852, 1.26, 2.174
3.300, 1.533, 0.843, 1.235, 2.141
3.310, 1.484, 0.87, 1.222, 2.110
3.320, 1.46, 0.866, 1.179, 2.066
3.330, 1.474, 0.875, 1.14, 2.058
3.340, 1.498, 0.836, 1.23, 2.110
3.350, 1.513, 0.858, 1.211, 2.119
3.360, 1.524, 0.848, 1.229, 2.133
3.370, 1.471, 0.85, 1.23, 2.097
3.380, 1.485, 0.839, 1.226, 2.100
3.390, 1.515, 0.858, 1.242, 2.138
3.400, 1.554, 0.856, 1.263, 2.177
3.410, 1.506, 0.855, 1.279, 2.152
3.420, 1.492, 0.835, 1.22, 2.100
3.430, 1.491, 0.855, 1.238, 2.118
3.440, 1.522, 0.858, 1.21, 2.125
3.450, 1.567, 0.842, 1.266, 2.183
3.460, 1.578, 0.873, 1.255, 2.197
3.470, 1.478, 0.842, 1.24, 2.105
3.480, 1.469, 0.854, 1.261, 2.115
3.490, 1.505, 0.834, 1.255, 2.129
3.500, 1.54, 0.848, 1.257, 2.161
3.510, 1.506, 0.852, 1.225, 2.120
3.520, 1.46, 0.864, 1.219, 2.089
3.530, 1.465, 0.85, 1.214, 2.083
3.540, 1.498, 0.878, 1.255, 2.142
3.550, 1.539, 0.835, 1.273, 2.164
3.560, 1.481, 0.86, 1.222, 2.103
3.570, 1.425, 0.856, 1.236, 2.071
3.580, 1.476, 0.835, 1.205, 2.080
3.590, 1.457, 0.826, 1.249, 2.089
3.600, 1.464, 0.824, 1.237, 2.086
3.610, 1.493, 0.855, 1.212, 2.104
3.620, 1.439, 0.83, 1.165, 2.029
3.630, 1.556, 0.863, 1.209, 2.151
3.640, 1.455, 0.882, 1.209, 2.087
3.650, 1.45, 0.817, 1.238, 2.074
3.660, 1.464, 0.83, 1.205, 2.069
3.670, 1.472, 0.834, 1.199, 2.073
3.680, 1.537, 0.843, 1.209, 2.129
3.690, 1.548, 0.878, 1.211, 2.152
3.700, 1.52, 0.88, 1.227, 2.142
3.710, 1.551, 0.843, 1.193, 2.130
3.720, 1.529, 0.838, 1.2, 2.116
3.730, 1.542, 0.853, 1.171, 2.115
3.740, 1.534, 0.831, 1.22, 2.128
3.750, 1.513, 0.861, 1.243, 2.139
3.760, 1.506, 0.873, 1.189, 2.108
3.770, 1.527, 0.853, 1.263, 2.157
3.780, 1.522, 0.808, 1.201, 2.100
3.790, 1.55, 0.888, 1.192, 2.147
3.800, 1.527, 0.841, 1.189, 2.110
3.810, 1.545, 0.828, 1.167, 2.105
3.820, 1.521, 0.835, 1.187, 2.102
3.830, 1.544, 0.829, 1.172, 2.108
3.840, 1.517, 0.858, 1.18, 2.104
3.850, 1.543, 0.818, 1.167, 2.100
3.860, 1.551, 0.844, 1.192, 2.130
3.870, 1.541, 0.827, 1.209, 2.126
3.880, 1.524, 0.817, 1.224, 2.118
3.890, 1.511, 0.815, 1.162, 2.073
3.900, 1.528, 0.779, 1.194, 2.089
3.910, 1.513, 0.799, 1.236, 2.110
3.920, 1.528, 0.838, 1.202, 2.117
3.930, 1.517, 0.877, 1.236, 2.144
3.940, 1.535, 0.866, 1.2, 2.132
3.950, 1.534, 0.863, 1.215, 2.138
3.960, 1.579, 0.849, 1.181, 2.146
3.970, 1.573, 0.887, 1.201, 2.168
3.980, 1.555, 0.859, 1.194, 2.140
3.990, 1.56, 0.845, 1.199, 2.141
4.000, 1.503, 0.864, 1.201, 2.109
4.010, 1.475, 0.855, 1.18, 2.073
4.020, 1.531, 0.818, 1.191, 2.105
4.030, 1.452, 0.85, 1.165, 2.046
4.040, 1.525, 0.846, 1.192, 2.112
4.050, 1.594, 0.864, 1.237, 2.194
4.060, 1.529, 0.874, 1.17, 2.114
4.070, 1.509, 0.863, 1.158, 2.088
4.080, 1.55, 0.854, 1.188, 2.131
4.090, 1.48, 0.861, 1.172, 2.074
4.100, 1.549, 0.834, 1.207, 2.133
4.110, 1.536, 0.863, 1.202, 2.132
4.120, 1.555, 0.838, 1.195, 2.132
4.130, 1.507, 0.837, 1.227, 2.115
4.140, 1.517, 0.836, 1.211, 2.113
4.150, 1.553, 0.845, 1.243, 2.161
4.160, 1.554, 0.852, 1.214, 2.148
4.170, 1.566, 0.843, 1.259, 2.179
4.180, 1.555, 0.855, 1.225, 2.156
4.190, 1.536, 0.845, 1.242, 2.148
4.200, 1.59, 0.856, 1.245, 2.193
4.210, 1.509, 0.844, 1.206, 2.108
4.220, 1.58, 0.825, 1.188, 2.142
4.230, 1.568, 0.83, 1.227, 2.157
4.240, 1.572, 0.857, 1.206, 2.158
4.250, 1.598, 0.854, 1.229, 2.189
4.260, 1.532, 0.849, 1.2, 2.123
4.270, 1.583, 0.847, 1.243, 2.183
4.280, 1.598, 0.849, 1.244, 2.195
4.290, 1.567, 0.862, 1.246, 2.179
4.300, 1.538, 0.866, 1.192, 2.129
4.310, 1.622, 0.859, 1.304, 2.251
4.320, 1.618, 0.839, 1.31, 2.244
4.330, 1.569, 0.871, 1.251, 2.187
4.340, 1.625, 0.845, 1.328, 2.262
4.350, 1.594, 0.852, 1.235, 2.189
4.360, 1.567, 0.855, 1.213, 2.158
4.370, 1.551, 0.855, 1.236, 2.159
4.380, 1.537, 0.876, 1.207, 2.141
4.390, 1.523, 0.881, 1.181, 2.119
4.400, 1.572, 0.837, 1.22, 2.158
4.410, 1.532, 0.847, 1.253, 2.152
4.420, 1.489, 0.855, 1.163, 2.073
4.430, 1.544, 0.83, 1.25, 2.152
4.440, 1.523, 0.832, 1.225, 2.124
4.450, 1.456, 0.818, 1.195, 2.053
4.460, 1.498, 0.84, 1.2, 2.095
4.470, 1.45, 0.868, 1.208, 2.077
4.480, 1.466, 0.831, 1.184, 2.059
4.490, 1.542, 0.858, 1.225, 2.148
4.500, 1.477, 0.881, 1.27, 2.137
4.510, 1.465, 0.797, 1.333, 2.135
4.520, 1.458, 0.869, 1.231, 2.096
4.530, 1.495, 0.863, 1.249, 2.130
4.540, 1.443, 0.869, 1.215, 2.076
4.550, 1.494, 0.857, 1.204, 2.101
4.560, 1.516, 0.828, 1.228, 2.119
4.570, 1.486, 0.81, 1.24, 2.098
4.580, 1.49, 0.863, 1.231, 2.116
4.590, 1.461, 0.852, 1.178, 2.061
4.600, 1.438, 0.852, 1.149, 2.028
4.610, 1.485, 0.829, 1.206, 2.084
4.620, 1.463, 0.826, 1.239, 2.087
4.630, 1.467, 0.804, 1.243, 2.084
4.640, 1.479, 0.803, 1.285, 2.117
4.650, 1.485, 0.85, 1.213, 2.097
4.660, 1.463, 0.837, 1.236, 2.090
4.670, 1.439, 0.846, 1.222, 2.068
4.680, 1.456, 0.858, 1.245, 2.099
4.690, 1.426, 0.828, 1.219, 2.050
4.700, 1.457, 0.794, 1.268, 2.088
4.710, 1.489, 0.847, 1.246, 2.118
4.720, 1.469, 0.821, 1.242, 2.091
4.730, 1.453, 0.862, 1.218, 2.082
4.740, 1.449, 0.79, 1.25, 2.070
4.750, 1.454, 0.807, 1.244, 2.076
4.760, 1.426, 0.845, 1.186, 2.038
4.770, 1.438, 0.812, 1.247, 2.069
4.780, 1.479, 0.794, 1.261, 2.099
4.790, 1.442, 0.848, 1.239, 2.081
4.800, 1.438, 0.843, 1.222, 2.066
4.810, 1.442, 0.825, 1.237, 2.071
4.820, 1.434, 0.853, 1.233, 2.074
4.830, 1.479, 0.856, 1.308, 2.151
4.840, 1.431, 0.878, 1.258, 2.097
4.850, 1.443, 0.818, 1.281, 2.095
4.860, 1.423, 0.845, 1.256, 2.077
4.870, 1.445, 0.826, 1.241, 2.076
4.880, 1.426, 0.831, 1.225, 2.055
4.890, 1.424, 0.867, 1.224, 2.068
4.900, 1.427, 0.841, 1.305, 2.108
4.910, 1.378, 0.817, 1.228, 2.018
4.920, 1.435, 0.824, 1.235, 2.064
4.930, 1.412, 0.846, 1.201, 2.037
4.940, 1.443, 0.814, 1.206, 2.049
4.950, 1.474, 0.859, 1.242, 2.110
4.960, 1.398, 0.792, 1.253, 2.037
4.970, 1.435, 0.852, 1.209, 2.060
4.980, 1.495, 0.799, 1.204, 2.079
4.990, 1.495, 0.817, 1.186, 2.075
5.000, 1.42, 0.826, 1.177, 2.020
5.010, 1.45, 0.832, 1.207, 2.061
5.020, 1.431, 0.822, 1.219, 2.051
5.030, 1.462, 0.826, 1.209, 2.069
5.040, 1.445, 0.832, 1.174, 2.039
5.050, 1.464, 0.806, 1.249, 2.086
5.060, 1.432, 0.853, 1.272, 2.096
5.070, 1.435, 0.822, 1.176, 2.029
5.080, 1.501, 0.893, 1.241, 2.142
